EFST_PROVOKE 挑衅
EFFECTSTATE_ORCFACE 兽人脸
EFFECTSTATE_SANTA 圣诞装
EFFECTSTATE_SUMMER 夏日装
EFFECTSTATE_MARRIED 结婚礼服
EFFECTSTATE_PUSHCART 手推车
EFFECTSTATE_PUSHCART1 手推车模式一
EFFECTSTATE_PUSHCART2 手推车模式二
EFFECTSTATE_PUSHCART3 手推车模式三
EFFECTSTATE_PUSHCART4 手推车模式四
EFFECTSTATE_PUSHCART5 手推车模式五
EFFECTSTATE_WUGRIDER 狼骑乘
EFFECTSTATE_DRAGON 龙骑乘
EFFECTSTATE_DRAGON2 龙骑乘(黑)
EFFECTSTATE_DRAGON3 龙骑乘(白)
EFFECTSTATE_DRAGON4 龙骑乘(蓝)
EFFECTSTATE_DRAGON5 龙骑乘(红)
EFFECTSTATE_WUG 哮狼
EFFECTSTATE_STAR2 飞行中
EFFECTSTATE_MADOGEAR 魔导机甲搭乘中
EFFECTSTATE_SPECIALHIDING GM隐身中
EFFECTSTATE_TRANSFORM 变形中


UNKNOWN_MAPPROPERTY_TYPE_10 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_13 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_18 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_24 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_26 未知地图类型
UNKNOWN_MAPPROPERTY_TYPE_8 未知地图类型
UNKNOWN_MAPTYPE_24 未知地图类型
UNKNOWN_MAPTYPE_26 未知地图类型

EFST_DELAY 技能延迟
EFST_HANDICAPSTATE_NORECOVER HP/SP不可恢复
EFST_SET_NUM_DEF DEF固定成特定的数值
EFST_SET_NUM_MDEF MDEF固定成特定的数值
EFST_SET_PER_DEF DEF固定成特定百分比
EFST_SET_PER_MDEF MDEF固定成特定百分比
EFST_ATTHASTE_CASH ASPD强化药水
EFST_ALL_RIDING 坐骑搭乘中
EFST_2011RWC 加油鞭炮
EFST_PHI_DEMON 古代神灵平安符
EFST_GM_BATTLE 战斗灵药
EFST_GM_BATTLE2 高级战斗灵药
EFST_MEIKYOUSISUI 明镜止水
EFST_IZAYOI 第十六个夜晚
EFST_KG_KAGEHUMI踏影
EFST_KYOMU 虚无飘妙之影
EFST_KAGEMUSYA 影子武士
EFST_ZANGETSU 变形的上弦月
EFST_GENSOU 阴月的幻影
EFST_AKAITSUKI 不祥的红月
EFST_2011RWC_SCROLL 红色助推器
EFST_MYSTICPOWDER 神奇粉末
EFST_ON_PUSH_CART 持有手推车
EFST_FLOWER_LEAF 茂盛的花瓣
EFST_M_LIFEPOTION 神奇生命水
